SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE,52W H,52W L,365 D % CHNG  06-Sep-2019,30 D % CHNG  07-Aug-2020
INFRATEL,217.00,235.45,216.75,214.85,227.20,12.35,5.75,54729401,"12,350,778,056.25",296.50,120.05,-14.18,11.55
HDFCLIFE,576.60,594.50,571.15,574.65,593.50,18.85,3.28,3374335,"1,974,627,098.65",647.60,340.00,8.44,-5.32
DRREDDY,"4,344.15","4,436.00","4,295.25","4,322.50","4,431.50",109.0,2.52,1230797,"5,387,013,849.45","4,758.60","2,495.05",57.76,-5.49
ITC,187.25,190.50,180.80,186.70,190.30,3.6,1.93,32663990,"6,086,949,126.31",266.30,134.60,-23.45,-4.77
HINDUNILVR,"2,126.00","2,174.00","2,103.75","2,124.65","2,165.05",40.4,1.9,2363028,"5,091,633,382.08","2,614.30","1,757.30",16.79,-3.89
TCS,"2,289.00","2,343.50","2,283.35","2,288.80","2,330.00",41.2,1.8,4620416,"10,717,620,771.63","2,358.00","1,506.05",4.15,-0.29
ZEEL,220.40,225.85,215.85,220.40,223.20,2.8,1.27,42979685,"9,513,030,072.42",367.40,114.00,-38.99,46.84
JSWSTEEL,281.00,287.75,278.85,282.35,285.90,3.55,1.26,8634438,"2,448,726,616.80",296.75,132.50,29.55,17.55
ASIANPAINT,"1,965.00","2,003.65","1,948.10","1,956.35","1,980.00",23.65,1.21,2855493,"5,655,389,395.20","2,016.85","1,431.20",27.67,8.31
HDFC,"1,773.00","1,801.45","1,760.00","1,769.70","1,790.10",20.4,1.15,4073465,"7,271,011,036.08","2,499.90","1,473.45",-13.31,-0.45
RELIANCE,"2,084.00","2,105.75","2,044.25","2,077.25","2,099.60",22.35,1.08,10119099,"20,964,596,322.46","2,198.80",866.98,69.92,-3.22
AXISBANK,457.00,467.15,450.65,455.20,459.90,4.7,1.03,25967554,"11,927,676,578.82",765.85,286.00,-32.17,5.05
WIPRO,276.50,279.50,271.50,276.00,278.70,2.7,0.98,8326285,"2,296,638,915.72",290.80,159.40,9.52,-0.5
HCLTECH,696.35,712.40,689.05,700.80,707.05,6.25,0.89,4238823,"2,975,780,910.69",729.00,375.25,-36.31,1.52
NESTLEIND,"16,241.00","16,515.00","15,972.10","16,232.60","16,370.00",137.4,0.85,104808,"1,715,112,698.64","18,369.95","12,200.00",28.69,-3.31
TATAMOTORS,150.00,152.00,148.00,147.80,149.00,1.2,0.81,82619417,"12,370,260,030.03",201.70,63.50,21.9,24.1
SBIN,207.50,209.65,205.40,206.60,208.25,1.65,0.8,35687677,"7,409,053,640.04",351.00,149.45,-24.58,8.37
INFY,918.90,927.55,913.05,919.15,925.55,6.4,0.7,6700450,"6,172,918,965.15",986.45,509.25,9.4,-3.34
BAJAJ-AUTO,"2,898.35","2,906.85","2,830.05","2,883.20","2,903.00",19.8,0.69,807657,"2,322,070,410.99","3,315.15","1,788.65",1.54,-3.95
TITAN,"1,164.00","1,176.45","1,149.30","1,159.25","1,165.00",5.75,0.5,2166347,"2,524,249,187.87","1,389.95",720.90,8.47,6.25
MARUTI,"7,225.00","7,300.00","7,129.25","7,190.10","7,222.25",32.15,0.45,1348919,"9,727,931,706.35","7,758.70","4,001.10",16.21,7.65
ICICIBANK,374.10,376.85,369.00,372.55,374.00,1.45,0.39,22324954,"8,349,586,574.08",552.20,268.30,-4.8,4.08
BRITANNIA,"3,732.90","3,750.00","3,655.00","3,705.85","3,719.70",13.85,0.37,437318,"1,622,720,917.16","4,010.00","2,100.00",38.9,-5.82
EICHERMOT,"2,205.00","2,215.00","2,156.00","2,180.85","2,187.00",6.15,0.28,1354394,"2,953,516,551.93","2,387.25","1,245.01",-86.71,-90.0
SUNPHARMA,516.00,518.20,504.25,512.45,513.30,0.85,0.17,6320017,"3,230,855,890.57",564.75,312.00,20.55,-2.57
IOC,84.50,84.95,81.80,83.90,84.00,0.1,0.12,14902298,"1,242,805,783.20",156.00,71.15,-33.91,-2.89
POWERGRID,175.05,176.95,173.05,175.05,175.25,0.2,0.11,7351345,"1,285,450,940.90",211.00,122.15,-13.98,-0.51
TATASTEEL,423.70,428.40,418.45,421.30,421.50,0.2,0.05,9628406,"4,072,425,675.30",506.00,250.85,18.54,4.27
TECHM,749.70,751.90,734.05,748.20,746.95,-1.25,-0.17,3367905,"2,503,498,502.70",845.90,471.40,3.66,12.94
BAJAJFINSV,"6,324.00","6,349.25","6,212.00","6,277.20","6,263.85",-13.35,-0.21,498573,"3,131,327,612.34","9,950.00","3,985.30",-12.52,-2.94
COALINDIA,133.00,133.80,130.75,132.45,132.10,-0.35,-0.26,8781895,"1,158,553,057.82",217.55,119.20,-33.31,2.08
HINDALCO,188.30,191.50,186.60,188.30,187.30,-1.0,-0.53,6839485,"1,289,033,591.61",221.20,84.90,-0.05,6.02
ADANIPORTS,355.00,357.95,347.20,353.00,351.05,-1.95,-0.55,3344349,"1,176,307,873.77",428.85,203.00,-3.49,8.07
KOTAKBANK,"1,379.00","1,379.00","1,356.40","1,380.05","1,372.00",-8.05,-0.58,2321552,"3,177,617,456.25","1,740.00","1,001.00",-4.27,2.8
BPCL,411.00,411.00,396.20,403.35,400.85,-2.5,-0.62,8308845,"3,335,275,534.98",549.00,252.00,6.42,-3.91
HDFCBANK,"1,116.30","1,119.50","1,099.00","1,119.30","1,112.00",-7.3,-0.65,8807764,"9,774,557,851.41","1,305.50",738.75,-50.16,7.23
LT,947.15,950.75,916.25,942.50,935.50,-7.0,-0.74,3470842,"3,234,131,738.86","1,551.00",661.00,-29.06,2.93
GRASIM,720.00,720.80,693.00,706.50,701.00,-5.5,-0.78,4178265,"2,939,576,558.10",836.90,385.05,0.4,10.99
CIPLA,728.00,733.80,707.00,724.60,718.00,-6.6,-0.91,4688730,"3,353,754,794.40",814.50,355.30,52.58,-0.56
SHREECEM,"20,100.00","20,119.15","19,636.05","20,025.30","19,760.00",-265.3,-1.32,59729,"1,182,161,661.76","25,355.00","15,410.00",12.06,-8.6
INDUSINDBK,621.50,624.95,597.55,616.15,607.00,-9.15,-1.49,13890403,"8,507,606,484.93","1,596.55",235.55,-53.71,21.05
BHARTIARTL,525.00,528.00,510.30,523.15,515.00,-8.15,-1.56,16147428,"8,347,491,326.35",612.00,325.50,49.79,-6.71
ONGC,78.20,78.35,75.95,77.90,76.60,-1.3,-1.67,16574103,"1,271,675,831.05",149.65,50.00,-39.12,-0.95
HEROMOTOCO,"2,930.00","2,934.90","2,852.00","2,915.20","2,864.95",-50.25,-1.72,1476040,"4,251,092,762.66","3,181.35","1,475.00",9.6,7.72
ULTRACEMCO,"3,925.00","3,990.00","3,821.00","3,916.10","3,844.85",-71.25,-1.82,704103,"2,717,832,361.96","4,754.10","2,910.00",0.22,-2.2
NTPC,94.80,96.00,92.05,94.70,92.60,-2.1,-2.22,28474983,"2,650,166,667.81",129.65,73.20,-25.43,10.37
GAIL,98.00,98.85,94.85,98.05,95.85,-2.2,-2.24,11148827,"1,072,181,730.89",148.75,65.00,-25.35,1.19
BAJFINANCE,"3,607.00","3,629.00","3,477.60","3,596.80","3,508.00",-88.8,-2.47,4665183,"16,501,772,204.64","4,923.40","1,783.00",6.64,3.82
UPL,509.50,510.45,490.80,508.45,495.20,-13.25,-2.61,5255103,"2,601,538,245.10",617.75,240.15,-10.48,5.86
M&M,632.30,633.85,605.30,632.00,610.30,-21.7,-3.43,9388041,"5,753,430,897.20",656.00,245.40,19.36,5.25
